HolstFrame,Order,ObjectType,CardTitle,CardText,Priority,Owner,Source
"01. Обзор проекта","1","Frame","Обзор проекта","Единая точка входа: цель проекта, стратегический вывод, бренд, роль Антона, риски и фактическая база продаж.","High","Антон","MIRO_IMPORT_Стратегическая_карта_Эксперт_Сити.md"
"01. Обзор проекта","2","Card","Суть проекта","Эксперт Сити — агентство новостроек, переходящее к экосистеме из 4 опор. Цель: вывести агентство в топы по продажам новостроек. Горизонт: 6 месяцев + квартальный фокус 12 недель. Ключевая метрика: рост продаж новостроек на 50–100%.","High","Антон","Маршрутная карта 2026/МАРШРУТНАЯ КАРТА 2026 - Основной документ.md"
"01. Обзор проекта","3","Card","Стратегический вывод","Сейчас сильная идея, но высокий риск распыления. Главная задача квартала — доказать один рабочий контур: цифровой помощник + пилотные агенты + дисциплина использования + цифры до/после.","High","Антон","СТРАТЕГИЧЕСКИЕ РЕКОМЕНДАЦИИ НА КВАРТАЛ — ЭКСПЕРТ СИТИ.md"
"01. Обзор проекта","4","Card","Позиционирование бренда","Партнёры застройщиков — партнёрская платформа между застройщиком, банком и клиентом. Обещание: рост агентского канала для девелопера и понятный путь сделки для клиента.","Medium","Антон","Ребрейдинг/РЕБРЕНДИНГ - 02 Позиционирование и бренд-платформа.md"
"01. Обзор проекта","5","Card","Роль Антона","Внешний партнёр по развитию. Работает через цикл: диагностика → план → пилот → масштабирование. Не входит в линейное управление и не принимает кадровые решения.","Medium","Антон","Мое позиционирование (партнер по развитию).md"
"01. Обзор проекта","6","Card","Фактическая база 2025","Топ-ЖК по сделкам: Некрасовский — 36 сделок / 202 млн ₽, Атмосфера — 9 / 45 млн ₽, Урбан Мартен — 7 / 40 млн ₽, 8 Небо — 5 / 31 млн ₽, Новаленд — 5 / 25 млн ₽.","Medium","Антон","Продажи за 2025.md"
"01. Обзор проекта","7","Card","Ключевые риски","Риски: низкое качество данных, слабое использование продукта, распыление на Telegram/консалтинг/академию, недостаток фактических кейсов. Митигация: пилот 5–10 агентов и 5 живых метрик еженедельно.","High","Антон","Маршрутная карта 2026/МАРШРУТНАЯ КАРТА 2026 - Основной документ.md"
"02. Экосистема продуктов","1","Frame","Экосистема 3+1 продуктов","Карта продуктов: цифровой помощник, Telegram-канал, консалтинг для застройщиков, академия как поддерживающий слой.","High","Антон","Маршрутная карта 2026/Индекс - Маршрутная карта 2026.md"
"02. Экосистема продуктов","2","Card","Продукт 1 — Цифровой помощник","База новостроек с актуализацией и инструментами помощи агенту. KPI: 50+ ЖК, 10+ активных агентов, сокращение времени поиска на 50%. Фундамент всей экосистемы.","High","Антон","Маршрутная карта 2026/ФАЗА 1 - Продукт 1 Цифровой помощник.md"
"02. Экосистема продуктов","3","Card","Продукт 2 — Telegram-канал","Канал привлечения покупателей новостроек Уфы. KPI: 1000–3000 клиентов с промокодами, CPL 150–200 ₽, 50–300 сделок в год. В текущем квартале — подготовка, не масштабирование.","Medium","Антон","Маршрутная карта 2026/ФАЗА 2 - Продукт 2 Telegram-канал.md"
"02. Экосистема продуктов","4","Card","Продукт 3 — Консалтинг застройщиков","Консалтинг по ипотечным продуктам и агентскому маркетингу. KPI: 1–2 застройщика, улучшение ипотечных условий на 10–20%, рост агентского канала на 30–50%.","Medium","Антон","Маршрутная карта 2026/ФАЗА 3 - Продукт 3 Консалтинг для застройщиков.md"
"02. Экосистема продуктов","5","Card","Продукт 4 — Академия","Поддерживающий слой: стандартизация сервиса, Библия агента, карточки объектов, скрипты и контент для Telegram. Критерий дисциплины: выполнение плана не ниже 85%.","Medium","Антон","Академия новостроек/Маршрутная карта — Академия новостроек.md"
"02. Экосистема продуктов","6","Card","B2B-линия для агентств","Отдельная коммерческая линия: система привлечения 80–120К/мес, ИИ-система 30–50К/мес, обучение и аналитика 5–15К. Потенциал: 800К–1,55М ₽/мес recurring через 6 месяцев.","High","Антон","Агентства/ЭКОСИСТЕМА ИЗ 3 ПРОДУКТОВ ДЛЯ АГЕНТСТВ - Индекс.md"
"03. Квартальный фокус","1","Frame","Квартальный фокус 12 недель","Один доказанный внутренний контур вместо распыления на все направления сразу.","High","Антон","СТРАТЕГИЧЕСКИЕ РЕКОМЕНДАЦИИ НА КВАРТАЛ — ЭКСПЕРТ СИТИ.md"
"03. Квартальный фокус","2","Card","Objective квартала","Создать доказанный внутренний контур: цифровой помощник + пилотные агенты + дисциплина использования + первые цифры до/после.","High","Антон","СТРАТЕГИЧЕСКИЕ РЕКОМЕНДАЦИИ НА КВАРТАЛ — ЭКСПЕРТ СИТИ.md"
"03. Квартальный фокус","3","Card","Key Results","1) 5–10 агентов в пилоте. 2) 20–30 приоритетных объектов. 3) Обновление базы минимум 1 раз в неделю. 4) Сокращение времени подбора на 30–50%. 5) 3 оформленных кейса использования.","High","Антон","СТРАТЕГИЧЕСКИЕ РЕКОМЕНДАЦИИ НА КВАРТАЛ — ЭКСПЕРТ СИТИ.md"
"03. Квартальный фокус","4","Card","Недели 1–4: собрать ядро","Определить пилотную группу, сузить базу до топ-ЖК, зафиксировать стандарт обновления данных, описать 3–5 сценариев использования, запустить еженедельный разбор.","High","Антон + Тимур","СТРАТЕГИЧЕСКИЕ РЕКОМЕНДАЦИИ НА КВАРТАЛ — ЭКСПЕРТ СИТИ.md"
"03. Квартальный фокус","5","Card","Недели 5–8: доказать полезность","Замерить время подбора до/после, собрать 5–10 кейсов использования, убрать лишнее из MVP, интегрировать материалы академии: карточки, скрипты, возражения.","High","Антон","СТРАТЕГИЧЕСКИЕ РЕКОМЕНДАЦИИ НА КВАРТАЛ — ЭКСПЕРТ СИТИ.md"
"03. Квартальный фокус","6","Card","Недели 9–12: упаковать","Подготовить кейс до/после, стартовый Telegram-контент, презентацию ценности для застройщиков и стандарт работы агента с помощником.","Medium","Антон","СТРАТЕГИЧЕСКИЕ РЕКОМЕНДАЦИИ НА КВАРТАЛ — ЭКСПЕРТ СИТИ.md"
"03. Квартальный фокус","7","Card","5 живых метрик","Актуальные объекты, активные агенты, частота использования помощника, среднее время подбора, кейсы где помощник ускорил или помог закрыть работу.","High","Антон","Маршрутная карта 2026/Метрики и отслеживание.md"
"04. Дорожная карта","1","Frame","Дорожная карта 2026","Фазы, сроки, вехи, зависимости и KPI проекта.","Medium","Антон","Маршрутная карта 2026/Индекс - Маршрутная карта 2026.md"
"04. Дорожная карта","2","Card","Фаза 1: январь–февраль","Цифровой помощник. Веха: MVP и база новостроек. Результат: первые пользователи-агенты и сокращение времени поиска.","High","Антон","Маршрутная карта 2026/ФАЗА 1 - Продукт 1 Цифровой помощник.md"
"04. Дорожная карта","3","Card","Фаза 2: март–апрель","Telegram-канал. Веха: масштабная кампания и первые сделки из базы. Сейчас держать в режиме подготовки.","Medium","Антон","Маршрутная карта 2026/ФАЗА 2 - Продукт 2 Telegram-канал.md"
"04. Дорожная карта","4","Card","Фаза 3: май–июнь","Консалтинг застройщиков. Веха: 1–2 застройщика на консалтинге и специальные условия для агентств-партнёров.","Medium","Антон","Маршрутная карта 2026/ФАЗА 3 - Продукт 3 Консалтинг для застройщиков.md"
"04. Дорожная карта","5","Card","Зависимости","Нужны данные застройщиков, пилотная группа, техническая инфраструктура, бюджет на тесты, ритм еженедельного контроля.","High","Антон","Маршрутная карта 2026/МАРШРУТНАЯ КАРТА 2026 - Основной документ.md"
"05. Продажи и деньги","1","Frame","Продажи и деньги","Воронка, офферы, ROI-логика, путь к 500К+ ₽/мес и потенциал recurring.","High","Антон","Агентства/ВОРОНКА ПРОДАЖ - Экосистема для агентств.md"
"05. Продажи и деньги","2","Card","Воронка B2B","20 холодных контактов → 10 диагностик → 5 аудитов → 2 обучения → 1–2 подписки привлечения → апселл ИИ-системы.","High","Антон","Агентства/ВОРОНКА ПРОДАЖ - Экосистема для агентств.md"
"05. Продажи и деньги","3","Card","Аргумент продаж","CPL 150–200 ₽ вместо 3–10К. 1000–3000 забронированных клиентов с промокодами. Потенциально 50–300 сделок в год.","High","Антон","Агентства/ПРЕЗЕНТАЦИЯ - Экосистема из 3 продуктов для агентств.md"
"05. Продажи и деньги","4","Card","Путь к 500К+ ₽/мес","Комбинация recurring-продуктов: система привлечения 80–120К/мес + ИИ-система 30–50К/мес + обучение/аналитика 5–15К. Цель — 3–5 клиентов или 1–2 крупных B2B-пакета.","High","Антон","Агентства/ЭКОСИСТЕМА ИЗ 3 ПРОДУКТОВ ДЛЯ АГЕНТСТВ - Индекс.md"
"05. Продажи и деньги","5","Card","Бэклог идей","Trade-in Москва/Питер, база знаний от застройщиков, эксклюзивные акции ЖК, Яндекс-страницы агентов, электронные визитки, ИИ для РОПов, ретробонусы.","Low","Антон","02_Идеи на реализацию Эксперт.md"
"06. Оргструктура и роли","1","Frame","Оргструктура и роли","Кто за что отвечает, KPI и ритмы управления.","Medium","Антон","Орг структура.md"
"06. Оргструктура и роли","2","Card","Иерархия","Директора: Нурия Шкуренко, Оксана Исламова. Начальник департамента: Тимур Мустакимов. Группы агентов: Марат 7, Айдар 11, Айбулат 9. Операционный блок: HR, офис, качество, обучение, аналитика.","Medium","Тимур","Орг структура.md"
"06. Оргструктура и роли","3","Card","KPI по уровням","Директора — выручка/маржа. Начальник департамента — план/затраты/качество. Руководители групп — продажи, конверсия, дисциплина. Операционный блок — адаптация, обучение, отчётность.","Medium","Тимур","Орг структура.md"
"06. Оргструктура и роли","4","Card","Ритмы управления","Еженедельные планёрки, ежемесячный KPI-разбор, квартальные цели. Span of control: 6–8 прямых подчинённых на руководителя.","Medium","Тимур","Орг структура.md"
"07. Академия и обучение","1","Frame","Академия и обучение агентов","8-недельная методология, 12-недельная академия, матрица компетенций и артефакты обучения.","Medium","Антон","Методология обучения агентов — 8 недель.md"
"07. Академия и обучение","2","Card","Методология 8 недель","Цель: агент самостоятельно ведёт 3–5 клиентов в воронке. Фазы: фундамент, навыки продаж, реальная практика, интеграция.","High","Антон","Методология обучения агентов — 8 недель.md"
"07. Академия и обучение","3","Card","Академия 12 недель","Артефакты: Библия агента, каталог объектов, скрипты, контент-план, промты ИИ, промо-наборы ЖК, схема воронки, стандарт сопровождения.","Medium","Антон","Академия новостроек/Маршрутная карта — Академия новостроек.md"
"07. Академия и обучение","4","Card","Матрица компетенций","Уровни 0–3: не знает, знание, навык, самостоятельность. Зачёты: дни 10, 20, 30, 35, 39. Если уровень ниже цели — зона роста и доп. отработка.","Medium","Антон","Методология обучения агентов — 8 недель.md"
"08. Ребрендинг и упаковка","1","Frame","Ребрендинг и упаковка","Бренд-платформа, партнёрские офферы, trade-in, медиа-кит, КП, PR и Telegram.","Medium","Антон","Ребрейдинг/РЕБРЕНДИНГ - 02 Позиционирование и бренд-платформа.md"
"08. Ребрендинг и упаковка","2","Card","Карта ребрендинга","19 документов: бриф, позиционирование, pitch, партнёрские офферы, trade-in, пакет застройщика, бренд-гайд, презентации, КП, Telegram, PR, контент-план.","Medium","Антон","Ребрейдинг/"
"08. Ребрендинг и упаковка","3","Card","Trade-in как сервис","Trade-in должен быть сервисом с понятным SLA, а не обещанием. Win-win: застройщик получает лиды, банк — ипотеку, клиент — условия, агентство — канал.","Medium","Антон","Ребрейдинг/РЕБРЕНДИНГ - 05 Trade-in сервис — спецификация.md"
"08. Ребрендинг и упаковка","4","Card","Telegram подготовка","Подготовить 10–15 единиц стартового контента, рубрикатор, лид-магниты, закреп и ссылку на бота. В текущем квартале не делать большой трафик главным KPI.","Low","Антон","Ребрейдинг/РЕБРЕНДИНГ - 11 Telegram-канал и группа — обновление.md"
"09. Реестр источников","1","Frame","Реестр источников","Навигация к исходным документам Obsidian. Доска не заменяет базу знаний, а работает как панель управления.","Low","Антон","ЭКСПЕРТ СИТИ/"
"09. Реестр источников","2","Card","Стратегия и KPI","Основные документы: маршрутная карта 2026, индекс, стратегические рекомендации, метрики и отслеживание, чек-листы, декомпозиция.","Medium","Антон","Маршрутная карта 2026/"
"09. Реестр источников","3","Card","Продукты и фазы","Фаза 1 — цифровой помощник. Фаза 2 — Telegram. Фаза 3 — консалтинг. Продукт 1 детально. Презентация ЖК для застройщиков.","Medium","Антон","Маршрутная карта 2026/"
"09. Реестр источников","4","Card","B2B агентства","Индекс экосистемы, презентация, воронка, скрипты, ROI-калькуляторы, кейсы, CRM Bitrix24, перестройка бизнеса.","Medium","Антон","Агентства/"
"09. Реестр источников","5","Card","Next actions","Сегодня: сформировать пилот 5–10 агентов. На неделе: сузить ядро базы до топ-5 ЖК 2025, запустить еженедельный разбор, зафиксировать 5 живых метрик.","High","Антон + Тимур","MIRO_IMPORT_Стратегическая_карта_Эксперт_Сити.md"
